veh_name;ip-order;ip-arrive;ip-depart;ip-dist;id-order;id-arrive;id-depart;id-dist;ep-order;ep-arrive;ep-depart;ep-dist;ed-order;ed-arrive;ed-depart;ed-dist;term-order;term-arrive;term-depart;term-dist
veh-25676007;ip-25676007;09:00;09:00:01;0;id-25676007;13:32:27;14:02:27;399494;;;;;;;;;virtual_termop;18:36:43;18:41:43;399053;
veh-25676008;ip-25676008;09:00;09:00:01;0;id-25676008;10:16:25;10:46:25;120489;;;;;;;;;virtual_termop;12:02:28;12:07:28;119379;
veh-25676011;ip-25676011;09:00;09:00:01;0;id-25676011;13:34:13;14:04:13;354164;;;;;;;;;virtual_termop;18:42:31;18:47:31;353776;
veh-25676015;ip-25676015;09:00;09:00:01;0;id-25676015;13:32:27;14:02:27;399494;;;;;;;;;virtual_termop;18:36:43;18:41:43;399053;
veh-25676016;ip-25676016;09:00;09:00:01;0;id-25676016;13:32:27;14:02:27;399494;;;;;;;;;virtual_termop;18:36:43;18:41:43;399053;
veh-25676017;ip-25676017;09:00;09:00:01;0;id-25676017;09:56:55;10:26:55;66676;;;;;;;;;virtual_termop;11:24:09;11:29:09;65239;
veh-25676018;ip-25676018;09:00;09:00:01;0;id-25676018;12:38:05;13:08:05;331050;;;;;;;;;virtual_termop;16:47:21;16:52:21;331649;
veh-25676019;ip-25676019;09:00;09:00:01;0;id-25676019;09:18:28;09:48:28;16753;;;;;;;;;virtual_termop;10:07:17;10:12:17;17979;
veh-25676020;ip-25676020;09:00;09:00:01;0;id-25676020;09:40:55;10:10:55;55266;;;;;;;;;virtual_termop;10:56:55;11:01:55;54566;
veh-25676022;ip-25676022;09:00;09:00:01;0;id-25676022;13:32:27;14:02:27;399494;;;;;;;;;virtual_termop;18:36:43;18:41:43;399053;
veh-25676023;ip-25676023;09:00;09:00:01;0;id-25676023;12:38:05;13:08:05;331050;;;;;;;;;virtual_termop;16:47:21;16:52:21;331649;
veh-25676025;ip-25676025;09:00;09:00:01;0;id-25676025;09:18:28;09:48:28;16753;;;;;;;;;virtual_termop;10:07:17;10:12:17;17979;
veh-25676026;ip-25676026;09:00;09:00:01;0;id-25676026;11:54:57;12:24:57;258245;;;;;;;;;virtual_termop;15:27:06;15:32:06;257124;
veh-25676029;ip-25676029;09:00;09:00:01;0;id-25676029;09:35:57;10:05:57;36408;;;;;;;;;virtual_termop;10:41:22;10:46:22;36517;
veh-25676030;ip-25676030;09:00;09:00:01;0;id-25676030;11:59:10;12:29:10;220077;;;;;;;;;virtual_termop;15:32:31;15:37:31;219572;
veh-25676033;ip-25676033;09:00;09:00:01;0;id-25676033;09:18:47;09:48:47;16602;;;;;;;;;virtual_termop;10:06:09;10:11:09;16200;
veh-25676034;ip-25676034;09:00;09:00:01;0;id-25676034;13:15:46;13:45:46;344762;;;;;;;;;virtual_termop;17:28:30;17:33:30;332724;
veh-25676035;ip-25676035;09:00;09:00:01;0;id-25676035;10:53:45;11:23:45;169096;;;;;;;;;virtual_termop;13:27:04;13:32:04;168117;
veh-25676036;ip-25676036;09:00;09:00:01;0;id-25676036;09:56:55;10:26:55;66676;;;;;;;;;virtual_termop;11:24:09;11:29:09;65239;
veh-25676037;ip-25676037;09:00;09:00:01;0;id-25676037;10:16:25;10:46:25;120489;;;;;;;;;virtual_termop;12:02:28;12:07:28;119379;
veh-25676039;ip-25676039;09:00;09:00:01;0;id-25676039;09:54:41;10:24:41;73360;;;;;;;;;virtual_termop;11:17:06;11:22:06;73330;
veh-25676040;ip-25676040;09:00;09:00:01;0;id-25676040;09:54:41;10:24:41;73360;;;;;;;;;virtual_termop;11:17:06;11:22:06;73330;
veh-25676041;ip-25676041;09:00;09:00:01;0;id-25676041;09:35:57;10:05:57;36408;;;;;;;;;virtual_termop;10:41:22;10:46:22;36517;
