veh_name;ip-order;ip-arrive;ip-depart;ip-dist;id-order;id-arrive;id-depart;id-dist;ep-order;ep-arrive;ep-depart;ep-dist;ed-order;ed-arrive;ed-depart;ed-dist;term-order;term-arrive;term-depart;term-dist
veh-25637994;ip-25637994;09:00;09:00:01;0;id-25637994;09:25:25;09:55:25;27842;ep-296;10:09:52;11:09:52;11693;ed-296;11:45:38;12:45:38;46455;virtual_termop;13:10:54;13:15:54;30998;
veh-25673385;ip-25673385;09:00;09:00:01;0;id-25673385;14:21:27;14:51:27;413970;;;;;;;;;virtual_termop;20:03:27;20:08:27;412467;
veh-25675931;ip-25675931;09:00;09:00:01;0;id-25675931;09:18:47;09:48:47;16602;ep-256;09:58:04;10:58:04;6535;ed-256;11:35:15;12:35:15;58962;virtual_termop;13:09:19;13:14:19;49339;
veh-25675946;ip-25675946;09:00;09:00:01;0;id-25675946;12:38:05;13:08:05;331050;ep-165;13:16:52;14:16:52;7016;ed-165;15:58:21;16:58:21;136612;virtual_termop;20:01:19;20:06:19;260259;
veh-25675948;ip-25675948;09:00;09:00:01;0;id-25675948;13:15:56;13:45:56;271248;ep-98;17:07:42;18:07:42;272775;ed-98;18:28:36;19:28:36;31223;virtual_termop;19:53:52;19:58:52;30998;
veh-25675959;ip-25675959;09:00;09:00:01;0;id-25675959;13:34:13;14:04:13;354164;;;;;;;;;virtual_termop;18:42:31;18:47:31;353776;
veh-25675960;ip-25675960;09:00;09:00:01;0;id-25675960;13:34:13;14:04:13;354164;;;;;;;;;virtual_termop;18:42:31;18:47:31;353776;
veh-25675961;ip-25675961;09:00;09:00:01;0;id-25675961;14:37:44;15:07:44;433139;;;;;;;;;virtual_termop;20:41:03;20:46:03;432835;
veh-25675963;ip-25675963;09:00;09:00:01;0;id-25675963;11:59:10;12:29:10;220077;;;;;;;;;virtual_termop;15:32:31;15:37:31;219572;
veh-25675965;ip-25675965;09:00;09:00:01;0;id-25675965;13:32:27;14:02:27;399494;ep-105;14:22:14;15:22:14;22581;ed-105;19:40:48;20:40:48;378893;virtual_termop;20:55:03;21:00:03;12752;
veh-25675966;ip-25675966;09:00;09:00:01;0;id-25675966;13:34:13;14:04:13;354164;;;;;;;;;virtual_termop;18:42:31;18:47:31;353776;
veh-25675967;ip-25675967;09:00;09:00:01;0;id-25675967;09:18:28;09:48:28;16753;ep-253;10:13:54;11:13:54;24382;ed-253;12:34:19;13:34:19;113707;virtual_termop;14:54:50;14:59:50;120255;
veh-25675968;ip-25675968;09:00;09:00:01;0;id-25675968;11:59:10;12:29:10;220077;;;;;;;;;virtual_termop;15:32:31;15:37:31;219572;
veh-25675969;ip-25675969;09:00;09:00:01;0;id-25675969;14:37:59;15:07:59;407269;;;;;;;;;virtual_termop;20:20:34;20:25:34;396334;
veh-25675970;ip-25675970;09:00;09:00:01;0;id-25675970;11:54:57;12:24:57;258245;ep-313;14:14:40;15:14:40;139245;ed-313;16:56:09;17:56:09;136612;virtual_termop;20:59:07;21:04:07;260259;
veh-25675972;ip-25675972;09:00;09:00:01;0;id-25675972;13:32:27;14:02:27;399494;ep-11;14:10:33;15:10:33;6759;ed-11;19:30:57;20:30:57;385881;virtual_termop;20:45:12;20:50:12;12752;
veh-25675973;ip-25675973;09:00;09:00:01;0;id-25675973;11:23:12;11:53:12;210852;ep-94;14:16:37;15:16:37;197857;ed-94;15:53:48;16:53:48;58962;virtual_termop;17:27:52;17:32:52;49339;
veh-25675974;ip-25675974;09:00;09:00:01;0;id-25675974;13:15:56;13:45:56;271248;ep-96;17:07:42;18:07:42;272775;ed-96;18:56:54;19:56:54;66046;virtual_termop;20:48:00;20:53;72689;
veh-25675975;ip-25675975;09:00;09:00:01;0;id-25675975;14:37:59;15:07:59;407269;;;;;;;;;virtual_termop;20:20:34;20:25:34;396334;
veh-25675976;ip-25675976;09:00;09:00:01;0;id-25675976;09:18:47;09:48:47;16602;ep-345;09:58:04;10:58:04;6535;ed-345;12:18:29;13:18:29;113707;virtual_termop;14:39:00;14:44;120255;
veh-25675977;ip-25675977;09:00;09:00:01;0;id-25675977;09:18:28;09:48:28;16753;ep-295;09:55:57;10:55:57;6415;ed-295;11:17:30;12:17:30;25343;virtual_termop;12:31:45;12:36:45;12752;
veh-25675979;ip-25675979;09:00;09:00:01;0;id-25675979;09:40:55;10:10:55;55266;ep-290;11:03:41;12:03:41;63577;ed-290;12:31:29;13:31:29;32936;virtual_termop;13:45:44;13:50:44;12752;
veh-25675982;ip-25675982;09:00;09:00:01;0;id-25675982;11:54:57;12:24:57;258245;ep-174;14:14:40;15:14:40;139245;ed-174;19:12:30;20:12:30;351835;virtual_termop;20:37:40;20:42:40;27092;
veh-25675984;ip-25675984;09:00;09:00:01;0;id-25675984;14:37:59;15:07:59;407269;;;;;;;;;virtual_termop;20:20:34;20:25:34;396334;
veh-25675985;ip-25675985;09:00;09:00:01;0;id-25675985;11:59:10;12:29:10;220077;ep-37;16:18:06;17:18:06;296546;ed-37;19:19:45;20:19:45;155537;virtual_termop;20:34:00;20:39;12752;
veh-25675986;ip-25675986;09:00;09:00:01;0;id-25675986;09:18:28;09:48:28;16753;ep-250;10:13:54;11:13:54;24382;ed-250;11:51:53;12:51:53;36795;virtual_termop;13:29:41;13:34:41;41195;
veh-25675987;ip-25675987;09:00;09:00:01;0;id-25675987;10:16:25;10:46:25;120489;;;;;;;;;virtual_termop;12:02:28;12:07:28;119379;
veh-25675988;ip-25675988;09:00;09:00:01;0;id-25675988;09:56:55;10:26:55;66676;ep-262;11:14:01;12:14:01;52982;ed-262;13:03:13;14:03:13;66046;virtual_termop;14:54:19;14:59:19;72689;
veh-25675991;ip-25675991;09:00;09:00:01;0;id-25675991;09:18:47;09:48:47;16602;ep-146;10:18:06;11:18:06;34573;ed-146;11:45:54;12:45:54;32936;virtual_termop;13:00:09;13:05:09;12752;
veh-25675993;ip-25675993;09:00;09:00:01;0;id-25675993;09:18:28;09:48:28;16753;ep-261;10:13:54;11:13:54;24382;ed-261;14:11:32;15:11:32;239057;virtual_termop;17:42:57;17:47:57;227708;
veh-25675994;ip-25675994;09:00;09:00:01;0;id-25675994;13:32:27;14:02:27;399494;ep-17;14:22:14;15:22:14;22581;ed-17;19:40:48;20:40:48;378893;virtual_termop;20:55:03;21:00:03;12752;
veh-25675995;ip-25675995;09:00;09:00:01;0;id-25675995;13:32:27;14:02:27;399494;ep-224;14:10:33;15:10:33;6759;ed-224;19:30:57;20:30:57;385881;virtual_termop;20:45:12;20:50:12;12752;
veh-25676000;ip-25676000;09:00;09:00:01;0;id-25676000;12:38:05;13:08:05;331050;ep-368;13:16:52;14:16:52;7016;ed-368;18:15:14;19:15:14;319567;virtual_termop;20:05:06;20:10:06;57434;
veh-25676001;ip-25676001;09:00;09:00:01;0;id-25676001;09:35:57;10:05:57;36408;ep-347;10:36:37;11:36:37;26989;ed-347;15:14:02;16:14:02;318418;virtual_termop;19:47:42;19:52:42;328544;
veh-25676002;ip-25676002;09:00;09:00:01;0;id-25676002;13:32:27;14:02:27;399494;ep-10;14:10:33;15:10:33;6759;ed-10;19:30:57;20:30:57;385881;virtual_termop;20:45:12;20:50:12;12752;
veh-25676003;ip-25676003;09:00;09:00:01;0;id-25676003;13:32:27;14:02:27;399494;ep-59;14:10:33;15:10:33;6759;ed-59;19:30:57;20:30:57;385881;virtual_termop;20:45:12;20:50:12;12752;
veh-25676004;ip-25676004;09:00;09:00:01;0;id-25676004;13:32:27;14:02:27;399494;ep-7;14:10:33;15:10:33;6759;ed-7;19:30:57;20:30:57;385881;virtual_termop;20:45:12;20:50:12;12752;
veh-25676005;ip-25676005;09:00;09:00:01;0;id-25676005;09:18:47;09:48:47;16602;ep-92;09:58:04;10:58:04;6535;ed-92;12:18:29;13:18:29;113707;virtual_termop;14:39:00;14:44;120255;
veh-25676006;ip-25676006;09:00;09:00:01;0;id-25676006;09:18:28;09:48:28;16753;ep-95;10:13:54;11:13:54;24382;ed-95;14:11:32;15:11:32;239057;virtual_termop;17:42:57;17:47:57;227708;
veh-25676007;ip-25676007;09:00;09:00:01;0;id-25676007;13:32:27;14:02:27;399494;ep-49;14:10:33;15:10:33;6759;ed-49;19:30:57;20:30:57;385881;virtual_termop;20:45:12;20:50:12;12752;
veh-25676008;ip-25676008;09:00;09:00:01;0;id-25676008;10:16:25;10:46:25;120489;ep-22;14:28:51;15:28:51;339209;ed-22;19:22:47;20:22:47;309519;virtual_termop;20:37:02;20:42:02;12752;
veh-25676011;ip-25676011;09:00;09:00:01;0;id-25676011;13:34:13;14:04:13;354164;;;;;;;;;virtual_termop;18:42:31;18:47:31;353776;
veh-25676015;ip-25676015;09:00;09:00:01;0;id-25676015;13:32:27;14:02:27;399494;ep-56;14:10:33;15:10:33;6759;ed-56;19:30:57;20:30:57;385881;virtual_termop;20:45:12;20:50:12;12752;
veh-25676016;ip-25676016;09:00;09:00:01;0;id-25676016;13:32:27;14:02:27;399494;ep-9;14:10:33;15:10:33;6759;ed-9;19:30:57;20:30:57;385881;virtual_termop;20:45:12;20:50:12;12752;
veh-25676017;ip-25676017;09:00;09:00:01;0;id-25676017;09:56:55;10:26:55;66676;ep-164;13:55:28;14:55:28;281140;ed-164;18:53:50;19:53:50;319567;virtual_termop;20:43:42;20:48:42;57434;
veh-25676018;ip-25676018;09:00;09:00:01;0;id-25676018;12:38:05;13:08:05;331050;ep-308;13:16:52;14:16:52;7016;ed-308;18:15:14;19:15:14;319567;virtual_termop;20:05:06;20:10:06;57434;
veh-25676019;ip-25676019;09:00;09:00:01;0;id-25676019;09:18:28;09:48:28;16753;ep-258;10:13:54;11:13:54;24382;ed-258;15:29:07;16:29:07;371532;virtual_termop;20:48:12;20:53:12;377132;
veh-25676020;ip-25676020;09:00;09:00:01;0;id-25676020;09:40:55;10:10:55;55266;ep-302;14:53:13;15:53:13;369686;ed-302;19:22:15;20:22:15;319018;virtual_termop;20:36:30;20:41:30;12752;
veh-25676022;ip-25676022;09:00;09:00:01;0;id-25676022;13:32:27;14:02:27;399494;ep-5;14:10:33;15:10:33;6759;ed-5;19:30:57;20:30:57;385881;virtual_termop;20:45:12;20:50:12;12752;
veh-25676023;ip-25676023;09:00;09:00:01;0;id-25676023;12:38:05;13:08:05;331050;ep-303;13:16:52;14:16:52;7016;ed-303;18:35:03;19:35:03;347936;virtual_termop;20:26:09;20:31:09;72689;
veh-25676025;ip-25676025;09:00;09:00:01;0;id-25676025;09:18:28;09:48:28;16753;ep-320;13:47:07;14:47:07;341693;ed-320;18:44:57;19:44:57;351835;virtual_termop;20:10:07;20:15:07;27092;
veh-25676026;ip-25676026;09:00;09:00:01;0;id-25676026;11:54:57;12:24:57;258245;ep-32;14:53:01;15:53:01;160919;ed-32;19:19:49;20:19:49;290565;virtual_termop;20:34:04;20:39:04;12752;
veh-25676029;ip-25676029;09:00;09:00:01;0;id-25676029;09:35:57;10:05:57;36408;ep-181;13:46:10;14:46:10;275139;ed-181;18:12:58;19:12:58;290565;virtual_termop;19:27:13;19:32:13;12752;
veh-25676030;ip-25676030;09:00;09:00:01;0;id-25676030;11:59:10;12:29:10;220077;ep-204;16:18:06;17:18:06;296546;ed-204;19:19:45;20:19:45;155537;virtual_termop;20:34:00;20:39;12752;
veh-25676033;ip-25676033;09:00;09:00:01;0;id-25676033;09:18:47;09:48:47;16602;ep-101;09:58:04;10:58:04;6535;ed-101;11:36:03;12:36:03;36795;virtual_termop;13:13:51;13:18:51;41195;
veh-25676034;ip-25676034;09:00;09:00:01;0;id-25676034;13:15:46;13:45:46;344762;ep-348;17:28:50;18:28:50;332657;ed-348;19:06:01;20:06:01;58962;virtual_termop;20:40:05;20:45:05;49339;
veh-25676035;ip-25676035;09:00;09:00:01;0;id-25676035;10:53:45;11:23:45;169096;;;;;;;;;virtual_termop;13:27:04;13:32:04;168117;
veh-25676036;ip-25676036;09:00;09:00:01;0;id-25676036;09:56:55;10:26:55;66676;ep-93;11:14:01;12:14:01;52982;ed-93;15:43:31;16:43:31;269377;virtual_termop;20:20:10;20:25:10;277704;
veh-25676037;ip-25676037;09:00;09:00:01;0;id-25676037;10:16:25;10:46:25;120489;ep-23;14:28:51;15:28:51;339209;ed-23;19:22:47;20:22:47;309519;virtual_termop;20:37:02;20:42:02;12752;
veh-25676039;ip-25676039;09:00;09:00:01;0;id-25676039;09:54:41;10:24:41;73360;ep-211;12:55:26;13:55:26;231631;ed-211;17:07:23;18:07:23;301244;virtual_termop;18:21:38;18:26:38;12752;
veh-25676040;ip-25676040;09:00;09:00:01;0;id-25676040;09:54:41;10:24:41;73360;ep-45;12:55:26;13:55:26;231631;ed-45;17:07:23;18:07:23;301244;virtual_termop;18:21:38;18:26:38;12752;
veh-25676041;ip-25676041;09:00;09:00:01;0;id-25676041;09:35:57;10:05:57;36408;ep-264;10:36:37;11:36:37;26989;ed-264;11:57:31;12:57:31;31223;virtual_termop;13:22:47;13:27:47;30998;
