Srce|Shipnum|Shpd_Dt|Origin|Cdty_Cd|Ori_city|Ori_St|Origin_Zip|Dest_city|Dest_St|Dest_Zip|TM_Miles
TMS|25689541|2020-08-06|PORT|DRY|PORTLAND|OR|97222|WARRENTON|OR|97146|93
TMS|25689560|2020-08-06|PORT|DRY|PORTLAND|OR|97222|CLE ELUM|WA|98922|235
TMS|25693055|2020-08-06|PORT|DRY|PORTLAND|OR|97222|WARRENTON|OR|97146|93
TMS|25694387|2020-08-06|ORMI|DRY|MILWAUKIE|OR|97222|ANCHORAGE|AK|99212|172
TMS|25695305|2020-08-06|PORT|DRY|PORTLAND|OR|97222|ANCHORAGE|AK|99212|141
TMS|25698011|2020-08-06|ORMI|DRY|MILWAUKIE|OR|97222|PORTLAND (MALETIS|OR|97217|1
TMS|25698012|2020-08-06|ORMI|DRY|MILWAUKIE|OR|97222|HAYDEN|ID|83835|382
TMS|25698013|2020-08-06|ORMI|DRY|MILWAUKIE|OR|97222|PORTLAND (AB)|OR|97230|13
TMS|25698014|2020-08-06|ORMI|DRY|MILWAUKIE|OR|97222|PORTLAND (MALETIS|OR|97217|1
TMS|25698015|2020-08-06|ORMI|DRY|MILWAUKIE|OR|97222|SPOKANE|WA|99212|347
TMS|25698027|2020-08-06|PORT|DRY|PORTLAND|OR|97222|FAIRBANKS|AK|99212|141
TMS|25698028|2020-08-06|PORT|DRY|PORTLAND|OR|97222|ANCHORAGE|AK|99212|141
TMS|25698029|2020-08-06|PORT|DRY|PORTLAND|OR|97222|BELLINGHAM|WA|98226|261
TMS|25698031|2020-08-06|PORT|DRY|PORTLAND|OR|97222|ARLINGTON|WA|98223|217
