Srce|Shipnum|Shpd_Dt|Origin|Destination|Cdty_Cd|Ori_city|Ori_St|Origin_Zip|Dest_city|Dest_St|Dest_Zip|TM_Miles||_date_|_origin_latitude_|_origin_longitude_|_dest_latitude_|_dest_longitude_|_delete_this_
TMS|25646988|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25646989|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25646990|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25646991|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25646992|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25646994|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25646995|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25647004|21-Jul-20|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261||2020-07-21|29.760794|-95.26043|32.630268|-97.27102|FALSE
TMS|25647005|21-Jul-20|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261||2020-07-21|29.760794|-95.26043|32.630268|-97.27102|FALSE
TMS|25647011|21-Jul-20|HTN|34254|DRY|HOUSTON|TX|77029|LLANO|TX|78643|236||2020-07-21|29.760794|-95.26043|30.721302|-98.66557|FALSE
TMS|25647018|21-Jul-20|HTN|21703|DRY|HOUSTON|TX|77029|ALEXANDRIA|LA|71302|234||2020-07-21|29.760794|-95.26043|31.261716|-92.42469|FALSE
TMS|25647020|21-Jul-20|HTN|21703|DRY|HOUSTON|TX|77029|ALEXANDRIA|LA|71302|234||2020-07-21|29.760794|-95.26043|31.261716|-92.42469|FALSE
TMS|25647026|21-Jul-20|HTN|31712|DRY|HOUSTON|TX|77029|BATON ROUGE|LA|70809|268||2020-07-21|29.760794|-95.26043|30.403341|-91.08035|FALSE
TMS|25647028|21-Jul-20|HTN|41732|DRY|HOUSTON|TX|77029|LAFAYETTE|LA|70501|218||2020-07-21|29.760794|-95.26043|30.2334|-92.00959|FALSE
