Srce|Shipnum|Shpd_Dt|Origin|Destination|Cdty_Cd|Ori_city|Ori_St|Origin_Zip|Dest_city|Dest_St|Dest_Zip|TM_Miles
TMS|25656061|24-Jul-20|HTN|94216|DRY|HOUSTON|TX|77029|CONROE|TX|77301|41
TMS|25656062|24-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25656063|24-Jul-20|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10
TMS|25656064|24-Jul-20|HTN|44266|DRY|HOUSTON|TX|77029|NEW BRAUNFELS|TX|78130|176
TMS|25656065|24-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25656066|24-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25656067|24-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25656068|24-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25656069|24-Jul-20|HTN|64287|DRY|HOUSTON|TX|77029|TEMPLE|TX|76501|195
TMS|25656070|24-Jul-20|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261
TMS|25656072|24-Jul-20|HTN|64295|DRY|HOUSTON|TX|77029|WACO|TX|76701|185
TMS|25656075|24-Jul-20|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10
TMS|25656077|24-Jul-20|HTN|34206|DRY|HOUSTON|TX|77029|AUSTIN|TX|78724|163
TMS|25656078|24-Jul-20|HTN|84257|DRY|HOUSTON|TX|77029|NACOGDOCHES|TX|75965|141
TMS|25656080|24-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25656085|24-Jul-20|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261
TMS|25656086|24-Jul-20|HTN|94224|DRY|HOUSTON|TX|77029|ROSENBERG|TX|77471|32
TMS|25656093|24-Jul-20|HTN|44207|DRY|HOUSTON|TX|77029|BEAUMONT|TX|77707|85
TMS|25656095|24-Jul-20|HTN|94231|DRY|HOUSTON|TX|77029|TEXAS CITY|TX|77591|43
TMS|25656096|24-Jul-20|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10
TMS|25657755|24-Jul-20|HTN|34206|DRY|HOUSTON|TX|77029|AUSTIN|TX|78724|163
TMS|25657760|24-Jul-20|HTN|94231|DRY|HOUSTON|TX|77029|TEXAS CITY|TX|77591|43
TMS|25657761|24-Jul-20|HTN|94231|DRY|HOUSTON|TX|77029|TEXAS CITY|TX|77591|43
