Srce|Shipnum|Shpd_Dt|Origin|Destination|Cdty_Cd|Ori_city|Ori_St|Origin_Zip|Dest_city|Dest_St|Dest_Zip|TM_Miles
TMS|25544664|21-Jul-20|HTN|54215|DRY|HOUSTON|TX|77029|CORPUS CHRISTI|TX|78406|207
TMS|25632348|07/21/20|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261
TMS|25634930|07/21/20|HTN|31712|DRY|HOUSTON|TX|77029|BATON ROUGE|LA|70809|268
TMS|25636970|07/21/20|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261
TMS|25636972|07/21/20|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261
TMS|25639693|07/21/20|HTN|54215|DRY|HOUSTON|TX|77029|CORPUS CHRISTI|TX|78406|207
TMS|25640007|07/21/20|HTN|44207|DRY|HOUSTON|TX|77029|BEAUMONT|TX|77707|85
TMS|25640009|07/21/20|HTN|44207|DRY|HOUSTON|TX|77029|BEAUMONT|TX|77707|85
TMS|25640010|07/21/20|HTN|44207|DRY|HOUSTON|TX|77029|BEAUMONT|TX|77707|85
TMS|25642132|07/21/20|HTN|94231|DRY|HOUSTON|TX|77029|TEXAS CITY|TX|77591|43
TMS|25642181|07/21/20|HTN|94231|DRY|HOUSTON|TX|77029|TEXAS CITY|TX|77591|43
TMS|25642216|07/21/20|HTN|60320|DRY|HOUSTON|TX|77029|EL DORADO|AR|71730|326
TMS|25642222|07/21/20|HTN|94231|DRY|HOUSTON|TX|77029|TEXAS CITY|TX|77591|43
TMS|25642296|07/21/20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25642309|07/21/20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198
TMS|25642311|07/21/20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198
TMS|25642318|07/21/20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25642326|07/21/20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25642333|07/21/20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25642355|07/21/20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25642377|07/21/20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25642379|07/21/20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25645090|07/21/20|HTN|61720|DRY|HOUSTON|TX|77029|FERRIDAY|LA|71334|295
TMS|25646915|07/21/20|HTN|64295|DRYDRAUGHT|HOUSTON|TX|77029|WACO|TX|76701|185
TMS|25646963|07/21/20|HTN|34206|DRY|HOUSTON|TX|77029|AUSTIN|TX|78724|163
TMS|25646968|07/21/20|HTN|34206|DRY|HOUSTON|TX|77029|AUSTIN|TX|78724|163
TMS|25646980|07/21/20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25646981|07/21/20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25646982|07/21/20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25646983|07/21/20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25646984|07/21/20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25646985|07/21/20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25646986|07/21/20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25646987|07/21/20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25646988|07/21/20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25646989|07/21/20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25646990|07/21/20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
