Original;BreweryGroup;Lane;Origin;OriginWslr;OriginCity;OriginState;OriginType;Destination;DestinationWslr;DestinationCity;DestinationState;DestinationType;OW_Miles;TR_Loads;BH_Loads;tgt_ded_pcnt;bbls;ActDedicatedPayload;DedicatedLoads;Loads;FilledLoads;TotalLoadsToFill;DedicatedLoadsToFill
442;CRTV;CRTV_91094;CRTV;31000;CARTERSVILLE;GA;BRWY;91094;91094;BLACKSHEAR;GA;WB;281;0;0;0;35871;151;\N;237;\N;237;\N
449;CRTV;CRTV_30958;CRTV;31000;CARTERSVILLE;GA;BRWY;30958;30958;MIDWAY;FL;WS;308;0;0;0;34738;140;\N;248;\N;248;\N
463;CRTV;CRTV_23912;CRTV;31000;CARTERSVILLE;GA;BRWY;23912;23912;CHARLESTON;SC;WS;334;0;0;0;32110;144;\N;223;\N;223;\N
470;CRTV;CRTV_12340;CRTV;31000;CARTERSVILLE;GA;BRWY;12340;12340;LAUREL;MS;WB;348;0;0;0;30909;141;\N;219;\N;219;\N
455;CRTV;CRTV_33245;CRTV;31000;CARTERSVILLE;GA;BRWY;33245;33245;LINWOOD;NC;WB;322;0;0;0;28740;134;\N;215;\N;215;\N
456;CRTV;CRTV_91646;CRTV;31000;CARTERSVILLE;GA;BRWY;91646;91646;LEXINGTON;KY;WS;323;0;0;0;27424;150;\N;182;\N;182;\N
425;CRTV;CRTV_23201;CRTV;31000;CARTERSVILLE;GA;BRWY;23201;23201;FLETCHER;NC;WS;220;0;0;0;22297;148;\N;151;\N;151;\N
493;CRTV;CRTV_43926;CRTV;31000;CARTERSVILLE;GA;BRWY;43926;43926;MYRTLE BEACH;SC;WS;389;0;0;0;18644;140;\N;133;\N;133;\N
408;CRTV;CRTV_23205;CRTV;31000;CARTERSVILLE;GA;BRWY;23205;23205;SYLVA;NC;WB;173;0;0;0;16975;140;\N;121;\N;121;\N
458;CRTV;CRTV_43925;CRTV;31000;CARTERSVILLE;GA;BRWY;43925;43925;FLORENCE;SC;WB;329;0;0;0;16663;141;\N;119;\N;119;\N
471;CRTV;CRTV_53296;CRTV;31000;CARTERSVILLE;GA;BRWY;53296;53296;WINSTON\NSALEM;NC;WB;348;0;0;0;15946;133;\N;120;\N;120;\N
491;CRTV;CRTV_81617;CRTV;31000;CARTERSVILLE;GA;BRWY;81617;81617;WALTON;KY;WS;383;0;0;0;15771;150;\N;105;\N;105;\N
480;CRTV;CRTV_54121;CRTV;31000;CARTERSVILLE;GA;BRWY;54121;54121;DYERSBURG;TN;WS;361;0;0;0;14809;141;\N;105;\N;105;\N
435;CRTV;CRTV_33917;CRTV;31000;CARTERSVILLE;GA;BRWY;33917;33917;ROCK HILL;SC;WS;263;0;0;0;14648;145;\N;101;\N;101;\N
440;CRTV;CRTV_01638;CRTV;31000;CARTERSVILLE;GA;BRWY;1638;1638;HOPKINSVILLE;KY;WB;276;0;0;0;13869;148;\N;93;\N;93;\N
432;CRTV;CRTV_33210;CRTV;31000;CARTERSVILLE;GA;BRWY;33210;33210;GASTONIA;NC;WS;253;0;0;0;13343;143;\N;94;\N;94;\N
478;CRTV;CRTV_53234;CRTV;31000;CARTERSVILLE;GA;BRWY;53234;53234;GREENSBORO;NC;WS;358;0;0;0;13256;121;\N;109;\N;109;\N
457;CRTV;CRTV_54149;CRTV;31000;CARTERSVILLE;GA;BRWY;54149;54149;DRESDEN;TN;WS;328;0;0;0;10607;139;\N;76;\N;76;\N
481;CRTV;CRTV_11600;CRTV;31000;CARTERSVILLE;GA;BRWY;11600;11600;LOUISVILLE;KY;WS;364;0;0;0;10301;137;\N;75;\N;75;\N
451;CRTV;CRTV_91630;CRTV;31000;CARTERSVILLE;GA;BRWY;91630;91630;HAZARD;KY;WS;309;0;0;0;10055;136;\N;74;\N;74;\N
437;CRTV;CRTV_01605;CRTV;31000;CARTERSVILLE;GA;BRWY;1605;1605;BOWLING GREEN;KY;WB;265;0;0;0;9826;140;\N;70;\N;70;\N
403;CRTV;CRTV_04130;CRTV;31000;CARTERSVILLE;GA;BRWY;4130;4130;KNOXVILLE;TN;NE;161;2;0;0;9452;135;\N;70;2;68;\N
477;CRTV;CRTV_31325;CRTV;31000;CARTERSVILLE;GA;BRWY;31325;31325;EVANSVILLE;IN;WS;358;0;0;0;8604;151;\N;57;\N;57;\N
466;CRTV;CRTV_41668;CRTV;31000;CARTERSVILLE;GA;BRWY;41668;41668;PADUCAH;KY;WS;343;0;0;0;8148;149;\N;55;\N;55;\N
465;CRTV;CRTV_01603;CRTV;31000;CARTERSVILLE;GA;BRWY;1603;1603;BARDSTOWN;KY;WS;340;0;0;0;7654;153;\N;50;\N;50;\N
488;CRTV;CRTV_90913;CRTV;31000;CARTERSVILLE;GA;BRWY;90913;90913;GAINESVILLE;FL;WB;378;0;0;0;7467;149;\N;50;\N;50;\N
382;CRTV;CRTV_01036;CRTV;31000;CARTERSVILLE;GA;BRWY;1036;1036;WINDER;GA;NE;81;0;0;0;6760;135;\N;50;\N;50;\N
495;CRTV;CRTV_90927;CRTV;31000;CARTERSVILLE;GA;BRWY;90927;90927;ST AUGUSTINE;FL;WS;398;0;0;0;6589;148;\N;45;\N;45;\N
474;CRTV;CRTV_94568;CRTV;31000;CARTERSVILLE;GA;BRWY;94568;94568;PULASKI;VA;WB;354;0;0;0;5022;142;\N;35;\N;35;\N
487;CRTV;CRTV_31301;CRTV;31000;CARTERSVILLE;GA;BRWY;31301;31301;JASPER;IN;WS;378;0;0;0;4650;154;\N;30;\N;30;\N
473;CRTV;CRTV_50397;CRTV;31000;CARTERSVILLE;GA;BRWY;50397;50397;WEST MEMPHIS;AR;WS;354;0;0;0;4444;142;\N;31;\N;31;\N
380;CRTV;CRTV_01042;CRTV;31000;CARTERSVILLE;GA;BRWY;1042;1042;ATLANTA;GA;NE;54;0;0;0;4098;135;\N;30;\N;30;\N
436;CRTV;CRTV_74505;CRTV;31000;CARTERSVILLE;GA;BRWY;74505;74505;BRISTOL;VA;WS;263;0;0;0;3849;122;\N;32;\N;32;\N
494;CRTV;CRTV_41240;CRTV;31000;CARTERSVILLE;GA;BRWY;41240;41240;MARION;IL;WS;397;0;0;0;3356;157;\N;21;\N;21;\N
460;CRTV;CRTV_31666;CRTV;31000;CARTERSVILLE;GA;BRWY;31666;31666;OWENSBORO;KY;WB;331;0;0;0;2995;153;\N;20;\N;20;\N
389;CRTV;CRTV_01028;CRTV;31000;CARTERSVILLE;GA;BRWY;1028;1028;ROME;GA;NE;104;0;0;0;1924;107;\N;18;\N;18;\N
484;CRTV;CRTV_01368;CRTV;31000;CARTERSVILLE;GA;BRWY;1368;1368;NEW ALBANY;IN;WS;369;0;0;0;1429;151;\N;9;\N;9;\N
410;CRTV;CRTV_00116;CRTV;31000;CARTERSVILLE;GA;BRWY;116;116;OPELIKA;AL;NE;190;1;0;0;645;135;\N;5;1;4;\N
405;CRTV;CRTV_00126;CRTV;31000;CARTERSVILLE;GA;BRWY;126;126;ALABASTER;AL;NE;163;0;0;0;599;135;\N;4;\N;4;\N
413;CRTV;CRTV_01044;CRTV;31000;CARTERSVILLE;GA;BRWY;1044;1044;AUGUSTA;GA;NE;196;0;0;0;286;135;\N;2;\N;2;\N
385;CRTV;CRTV_11024;CRTV;31000;CARTERSVILLE;GA;BRWY;11024;11024;PENDERGRASS;GA;NE;87;0;0;0;229;135;\N;2;\N;2;\N
393;CRTV;CRTV_01050;CRTV;31000;CARTERSVILLE;GA;BRWY;1050;1050;MACON;GA;NE;130;0;0;0;208;107;\N;2;\N;2;\N
399;CRTV;CRTV_04144;CRTV;31000;CARTERSVILLE;GA;BRWY;4144;4144;CHATTANOOGA;TN;NE;153;0;0;0;105;104;\N;1;\N;1;\N
417;CRTV;CRTV_00118;CRTV;31000;CARTERSVILLE;GA;BRWY;118;118;MONTGOMERY;AL;NE;201;0;0;0;2;135;\N;0;\N;0;\N
505;CRTV;GEOR_JKSV;GEOR;61000;POOLER;GA;DC;JKSV;30900;JACKSONVILLE;FL;BR;131;25;0;0;16844;135;\N;125;25;100;\N
506;CRTV;GEOR_70918;GEOR;61000;POOLER;GA;DC;70918;70918;JACKSONVILLE;FL;WS;140;0;0;0;9175;106;\N;86;\N;86;\N
508;CRTV;GEOR_61025;GEOR;61000;POOLER;GA;DC;61025;61025;FITZGERALD;GA;WB;152;0;0;0;47;135;\N;0;\N;0;\N
512;CRTV;GEOR_90927;GEOR;61000;POOLER;GA;DC;90927;90927;ST AUGUSTINE;FL;WS;169;0;0;0;4213;106;\N;40;\N;40;\N
515;CRTV;GEOR_90913;GEOR;61000;POOLER;GA;DC;90913;90913;GAINESVILLE;FL;WB;196;0;0;0;2925;106;\N;28;\N;28;\N
521;CRTV;GEOR_61003;GEOR;61000;POOLER;GA;DC;61003;61003;ALBANY;GA;WS;212;0;0;0;90;135;\N;1;\N;1;\N
522;CRTV;GEOR_10906;GEOR;61000;POOLER;GA;DC;10906;10906;DAYTONA BEACH;FL;WS;221;0;0;0;6609;104;\N;63;\N;63;\N
524;CRTV;GEOR_40924;GEOR;61000;POOLER;GA;DC;40924;40924;OCALA;FL;WB;226;0;0;0;2571;103;\N;25;\N;25;\N
532;CRTV;GEOR_30958;GEOR;61000;POOLER;GA;DC;30958;30958;MIDWAY;FL;WS;249;0;0;0;2046;103;\N;20;\N;20;\N
533;CRTV;GEOR_20922;GEOR;61000;POOLER;GA;DC;20922;20922;SANFORD;FL;WS;250;0;0;0;7217;106;\N;68;\N;68;\N
534;CRTV;GEOR_81018;GEOR;61000;POOLER;GA;DC;81018;81018;NORCROSS;GA;WS;250;0;0;0;1180;135;\N;9;\N;9;\N
535;CRTV;GEOR_81049;GEOR;61000;POOLER;GA;DC;81049;81049;LAGRANGE;GA;WS;255;0;0;0;60;135;\N;0;\N;0;\N
537;CRTV;GEOR_81019;GEOR;61000;POOLER;GA;DC;81019;81019;MARIETTA;GA;WB;261;0;0;0;768;135;\N;6;\N;6;\N
543;CRTV;GEOR_CRTV;GEOR;61000;POOLER;GA;DC;CRTV;31000;CARTERSVILLE;GA;BR;286;5;0;0;33067;135;\N;245;5;240;\N
544;CRTV;GEOR_30134;GEOR;61000;POOLER;GA;DC;30134;30134;DOTHAN;AL;WS;297;0;0;0;424;135;\N;3;\N;3;\N
545;CRTV;GEOR_10903;GEOR;61000;POOLER;GA;DC;10903;10903;MELBOURNE;FL;WS;305;0;0;0;7245;108;\N;67;\N;67;\N
547;CRTV;GEOR_40915;GEOR;61000;POOLER;GA;DC;40915;40915;HOLIDAY;FL;WB;313;0;0;0;5002;106;\N;47;\N;47;\N
548;CRTV;GEOR_40919;GEOR;61000;POOLER;GA;DC;40919;40919;EATON PARK;FL;WS;314;0;0;0;2539;103;\N;25;\N;25;\N
549;CRTV;GEOR_10922;GEOR;61000;POOLER;GA;DC;10922;10922;ORLANDO;FL;WS;315;0;0;0;28400;111;\N;256;\N;256;\N
551;CRTV;GEOR_40908;GEOR;61000;POOLER;GA;DC;40908;40908;TAMPA;FL;WS;321;0;0;0;20850;107;\N;194;\N;194;\N
555;CRTV;GEOR_30166;GEOR;61000;POOLER;GA;DC;30166;30166;MONTGOMERY;AL;WS;324;0;0;0;1318;102;\N;13;\N;13;\N
558;CRTV;GEOR_20948;GEOR;61000;POOLER;GA;DC;20948;20948;EBRO;FL;WB;339;0;0;0;4297;107;\N;40;\N;40;\N
559;CRTV;GEOR_40901;GEOR;61000;POOLER;GA;DC;40901;40901;ST. PETERSBURG;FL;WS;342;0;0;0;14423;111;\N;130;\N;130;\N
560;CRTV;GEOR_10168;GEOR;61000;POOLER;GA;DC;10168;10168;HARPERSVILLE;AL;WS;346;0;0;0;975;107;\N;9;\N;9;\N
561;CRTV;GEOR_40920;GEOR;61000;POOLER;GA;DC;40920;40920;SEBRING;FL;WB;352;0;0;0;559;135;\N;4;\N;4;\N
562;CRTV;GEOR_40979;GEOR;61000;POOLER;GA;DC;40979;40979;FORT PIERCE;FL;WS;353;0;0;0;6579;107;\N;62;\N;62;\N
563;CRTV;GEOR_74142;GEOR;61000;POOLER;GA;DC;74142;74142;JOHNSON CITY;TN;WS;355;0;0;0;33;135;\N;0;\N;0;\N
564;CRTV;GEOR_10139;GEOR;61000;POOLER;GA;DC;10139;10139;ATTALLA;AL;WB;361;0;0;0;227;135;\N;2;\N;2;\N
566;CRTV;GEOR_40940;GEOR;61000;POOLER;GA;DC;40940;40940;SARASOTA;FL;WS;372;0;0;0;11746;111;\N;106;\N;106;\N
567;CRTV;GEOR_64115;GEOR;61000;POOLER;GA;DC;64115;64115;CHARLESTON;TN;WS;375;0;0;0;53;135;\N;0;\N;0;\N
568;CRTV;GEOR_64113;GEOR;61000;POOLER;GA;DC;64113;64113;SODDY DAISY;TN;WB;377;0;0;0;103;135;\N;1;\N;1;\N
569;CRTV;GEOR_10121;GEOR;61000;POOLER;GA;DC;10121;10121;BIRMINGHAM;AL;WS;378;0;0;0;2767;100;\N;28;\N;28;\N
570;CRTV;GEOR_30183;GEOR;61000;POOLER;GA;DC;30183;30183;SELMA;AL;WB;378;0;0;0;127;135;\N;1;\N;1;\N
572;CRTV;GEOR_40925;GEOR;61000;POOLER;GA;DC;40925;40925;PUNTA GORDA;FL;WS;398;0;0;0;2573;107;\N;24;\N;24;\N
573;CRTV;GEOR_84146;GEOR;61000;POOLER;GA;DC;84146;84146;KNOXVILLE;TN;WS;398;0;0;0;124;135;\N;1;\N;1;\N
597;CRTV;RPGA_JKSV;RPGA;71005;NORCROSS;GA;WSC;JKSV;30900;JACKSONVILLE;FL;BR;325;0;0;0;11685;120;\N;97;\N;97;\N
588;CRTV;RPGA_04163;RPGA;71005;NORCROSS;GA;WSC;4163;4163;LA VERGNE;TN;WS;237;0;0;0;5068;120;\N;42;\N;42;\N
599;CRTV;RPGA_70918;RPGA;71005;NORCROSS;GA;WSC;70918;70918;JACKSONVILLE;FL;WS;349;0;0;0;3715;120;\N;31;\N;31;\N
592;CRTV;RPGA_23912;RPGA;71005;NORCROSS;GA;WSC;23912;23912;CHARLESTON;SC;WS;289;0;0;0;2888;120;\N;24;\N;24;\N
587;CRTV;RPGA_33213;RPGA;71005;NORCROSS;GA;WSC;33213;33213;CHARLOTTE;NC;WS;226;0;0;0;2168;120;\N;18;\N;18;\N
586;CRTV;RPGA_33916;RPGA;71005;NORCROSS;GA;WSC;33916;33916;COLUMBIA;SC;WS;203;0;0;0;1660;120;\N;14;\N;14;\N
591;CRTV;RPGA_30958;RPGA;71005;NORCROSS;GA;WSC;30958;30958;MIDWAY;FL;WS;282;0;0;0;1454;135;\N;11;\N;11;\N
585;CRTV;RPGA_84146;RPGA;71005;NORCROSS;GA;WSC;84146;84146;KNOXVILLE;TN;WS;199;0;0;0;1429;120;\N;12;\N;12;\N
604;CRTV;RPGA_63269;RPGA;71005;NORCROSS;GA;WSC;63269;63269;RALEIGH;NC;WB;399;0;0;0;1329;120;\N;11;\N;11;\N
600;CRTV;RPGA_91646;RPGA;71005;NORCROSS;GA;WSC;91646;91646;LEXINGTON;KY;WS;369;0;0;0;885;120;\N;7;\N;7;\N
583;CRTV;RPGA_23201;RPGA;71005;NORCROSS;GA;WSC;23201;23201;FLETCHER;NC;WS;174;0;0;0;881;135;\N;7;\N;7;\N
598;CRTV;RPGA_43926;RPGA;71005;NORCROSS;GA;WSC;43926;43926;MYRTLE BEACH;SC;WS;342;0;0;0;878;120;\N;7;\N;7;\N
596;CRTV;RPGA_53234;RPGA;71005;NORCROSS;GA;WSC;53234;53234;GREENSBORO;NC;WS;307;0;0;0;804;120;\N;7;\N;7;\N
601;CRTV;RPGA_40924;RPGA;71005;NORCROSS;GA;WSC;40924;40924;OCALA;FL;WB;381;0;0;0;717;135;\N;5;\N;5;\N
589;CRTV;RPGA_33245;RPGA;71005;NORCROSS;GA;WSC;33245;33245;LINWOOD;NC;WB;275;0;0;0;659;120;\N;5;\N;5;\N
595;CRTV;RPGA_53296;RPGA;71005;NORCROSS;GA;WSC;53296;53296;WINSTON\NSALEM;NC;WB;305;0;0;0;578;120;\N;5;\N;5;\N
590;CRTV;RPGA_43925;RPGA;71005;NORCROSS;GA;WSC;43925;43925;FLORENCE;SC;WB;282;0;0;0;479;120;\N;4;\N;4;\N
602;CRTV;RPGA_54153;RPGA;71005;NORCROSS;GA;WSC;54153;54153;MEMPHIS;TN;WS;393;0;0;0;426;120;\N;4;\N;4;\N
593;CRTV;RPGA_20948;RPGA;71005;NORCROSS;GA;WSC;20948;20948;EBRO;FL;WB;294;0;0;0;375;120;\N;3;\N;3;\N
594;CRTV;RPGA_02316;RPGA;71005;NORCROSS;GA;WSC;2316;2316;SHANNON;MS;WB;296;0;0;0;355;120;\N;3;\N;3;\N
584;CRTV;RPGA_61003;RPGA;71005;NORCROSS;GA;WSC;61003;61003;ALBANY;GA;WS;188;0;0;0;297;120;\N;2;\N;2;\N
603;CRTV;RPGA_12344;RPGA;71005;NORCROSS;GA;WSC;12344;12344;RICHLAND;MS;WS;398;0;0;0;250;120;\N;2;\N;2;\N
614;FCL;BRK1_50512;BRK1;20520;LITTLETON;CO;MB;50512;50512;PUEBLO;CO;WS;374;0;0;0;672;135;\N;5;\N;5;\N
645;FCL;CODC_94073;CODC;70500;AURORA;CO;DC;94073;94073;RAPID CITY;SD;WS;385;5;0;0;15866;137;\N;116;5;111;\N
643;FCL;CODC_03082;CODC;70500;AURORA;CO;DC;3082;3082;SANTA FE;NM;WB;379;2;0;0;13635;134;\N;102;2;100;\N
638;FCL;CODC_44947;CODC;70500;AURORA;CO;DC;44947;44947;RIVERTON;WY;WS;336;5;0;0;12531;146;\N;86;5;81;\N
647;FCL;CODC_62630;CODC;70500;AURORA;CO;DC;62630;62630;GRAND ISLAND;NE;WS;400;1;0;0;12232;137;\N;89;1;88;\N
642;FCL;CODC_81529;CODC;70500;AURORA;CO;DC;81529;81529;DODGE CITY;KS;WS;373;37;0;0;12004;139;\N;86;37;49;\N
632;FCL;CODC_50507;CODC;70500;AURORA;CO;DC;50507;50507;CLIFTON;CO;WS;248;14;0;16;10905;138;13;79;14;65;\N
639;FCL;CODC_00515;CODC;70500;AURORA;CO;DC;515;515;DURANGO;CO;WB;341;22;0;26;10281;135;20;76;22;54;\N
644;FCL;CODC_03023;CODC;70500;AURORA;CO;DC;3023;3023;FARMINGTON;NM;WB;381;0;0;0;10042;135;\N;74;\N;74;\N
633;FCL;CODC_62663;CODC;70500;AURORA;CO;DC;62663;62663;NORTH PLATTE;NE;WB;264;5;0;8;7495;138;4;54;5;49;\N
631;FCL;CODC_32682;CODC;70500;AURORA;CO;DC;32682;32682;SCOTTSBLUFF;NE;WS;208;5;0;8;7301;147;4;50;5;45;\N
646;FCL;CODC_91513;CODC;70500;AURORA;CO;DC;91513;91513;BELOIT;KS;WS;399;2;0;0;5523;140;\N;40;2;38;\N
637;FCL;CODC_81535;CODC;70500;AURORA;CO;DC;81535;81535;HAYS;KS;WS;330;4;0;0;5459;142;\N;38;4;34;\N
641;FCL;CODC_04002;CODC;70500;AURORA;CO;DC;4002;4002;RAPID CITY;SD;NE;372;0;0;0;2;102;\N;0;\N;0;\N
671;FCL;FCL_62630;FCL;30500;FORT COLLINS;CO;BRWY;62630;62630;GRAND ISLAND;NE;WS;377;77;0;0;132194;145;\N;911;77;834;\N
668;FCL;FCL_94073;FCL;30500;FORT COLLINS;CO;BRWY;94073;94073;RAPID CITY;SD;WS;333;78;0;0;107476;142;\N;759;78;681;\N
663;FCL;FCL_62663;FCL;30500;FORT COLLINS;CO;BRWY;62663;62663;NORTH PLATTE;NE;WB;242;31;0;0;48991;149;\N;330;31;299;\N
673;FCL;FCL_00515;FCL;30500;FORT COLLINS;CO;BRWY;515;515;DURANGO;CO;WB;391;1;0;0;16222;144;\N;113;1;112;\N
672;FCL;FCL_81535;FCL;30500;FORT COLLINS;CO;BRWY;81535;81535;HAYS;KS;WS;388;5;0;0;13242;141;\N;94;5;89;\N
741;FFD;RPS5_CAMO;RPS5;20406;LATHROP;CA;DC;CAMO;80410;MONTCLAIR;CA;BR;360;0;0;0;47246;130;\N;363;\N;363;\N
726;FFD;RPS5_FFD;RPS5;20406;LATHROP;CA;DC;FFD;400;FAIRFIELD;CA;BR;62;2;0;0;24501;135;\N;181;2;179;\N
742;FFD;RPS5_70470;RPS5;20406;LATHROP;CA;DC;70470;70470;ANAHEIM;CA;WS;367;0;0;0;9227;122;\N;75;\N;75;\N
743;FFD;RPS5_80465;RPS5;20406;LATHROP;CA;DC;80465;80465;CARSON;CA;BB;367;0;0;0;6283;111;\N;57;\N;57;\N
744;FFD;RPS5_60400;RPS5;20406;LATHROP;CA;DC;60400;60400;RIVERSIDE;CA;BB;382;0;0;0;5927;118;\N;50;\N;50;\N
736;FFD;RPS5_70400;RPS5;20406;LATHROP;CA;DC;70400;70400;SYLMAR;CA;BB;306;0;0;0;5364;135;\N;40;\N;40;\N
731;FFD;RPS5_90489;RPS5;20406;LATHROP;CA;DC;90489;90489;SACRAMENTO;CA;WS;120;0;0;0;4467;153;\N;29;\N;29;\N
740;FFD;RPS5_70441;RPS5;20406;LATHROP;CA;DC;70441;70441;POMONA;CA;BB;354;0;0;0;2958;113;\N;26;\N;26;\N
737;FFD;RPS5_70436;RPS5;20406;LATHROP;CA;DC;70436;70436;LOS ANGELES;CA;WS;329;0;0;0;2543;135;\N;19;\N;19;\N
732;FFD;RPS5_60426;RPS5;20406;LATHROP;CA;DC;60426;60426;FRESNO;CA;WS;122;0;0;0;1831;153;\N;12;\N;12;\N
728;FFD;RPS5_20494;RPS5;20406;LATHROP;CA;DC;20494;20494;S SAN FRANCISCO;CA;WS;78;0;0;0;1535;135;\N;11;\N;11;\N
739;FFD;RPS5_70427;RPS5;20406;LATHROP;CA;DC;70427;70427;SANTA FE SPRINGS;CA;WS;342;0;0;0;1512;142;\N;11;\N;11;\N
735;FFD;RPS5_50410;RPS5;20406;LATHROP;CA;DC;50410;50410;BAKERSFIELD;CA;WS;226;0;0;0;1125;153;\N;7;\N;7;\N
733;FFD;RPS5_60424;RPS5;20406;LATHROP;CA;DC;60424;60424;VISALIA;CA;WS;160;0;0;0;853;153;\N;6;\N;6;\N
738;FFD;RPS5_30457;RPS5;20406;LATHROP;CA;DC;30457;30457;OXNARD;CA;WB;336;0;0;0;426;153;\N;3;\N;3;\N
734;FFD;RPS5_42720;RPS5;20406;LATHROP;CA;DC;42720;42720;SPARKS;NV;WS;191;0;0;0;169;135;\N;1;\N;1;\N
768;HTN;HTN_44276;HTN;64200;HOUSTON;TX;BRWY;44276;44276;SAN ANTONIO;TX;WS;203;456;123;9;777620;145;498;5347;579;4767;\N
792;HTN;HTN_94233;HTN;64200;HOUSTON;TX;BRWY;94233;94233;MCALLEN;TX;WS;350;213;0;0;418329;142;\N;2940;213;2727;\N
788;HTN;HTN_94239;HTN;64200;HOUSTON;TX;BRWY;94239;94239;HARLINGEN;TX;WB;331;133;0;0;212850;141;\N;1513;133;1380;\N
770;HTN;HTN_84245;HTN;64200;HOUSTON;TX;BRWY;84245;84245;LONGVIEW;TX;WS;207;100;89;15;195945;159;189;1230;189;1041;\N
799;HTN;HTN_22303;HTN;64200;HOUSTON;TX;BRWY;22303;22303;GULFPORT;MS;WS;395;22;0;0;105220;136;\N;775;22;753;\N
796;HTN;HTN_34271;HTN;64200;HOUSTON;TX;BRWY;34271;34271;SAN ANGELO;TX;WS;370;60;0;0;73518;136;\N;541;60;481;\N
798;HTN;HTN_74298;HTN;64200;HOUSTON;TX;BRWY;74298;74298;WICHITA FALLS;TX;WS;375;42;0;0;50210;132;\N;381;42;339;\N
795;HTN;HTN_64242;HTN;64200;HOUSTON;TX;BRWY;64242;64242;ABILENE;TX;WB;369;39;0;0;50021;132;\N;379;39;340;\N
793;HTN;HTN_32352;HTN;64200;HOUSTON;TX;BRWY;32352;32352;SUMMIT;MS;WS;355;30;0;0;48009;145;\N;331;30;301;\N
797;HTN;HTN_12390;HTN;64200;HOUSTON;TX;BRWY;12390;12390;VICKSBURG;MS;WB;371;20;0;0;16472;137;\N;120;20;100;\N
794;HTN;HTN_60315;HTN;64200;HOUSTON;TX;BRWY;60315;60315;CAMDEN;AR;WB;355;4;0;0;13343;154;\N;86;4;82;\N
800;HTN;HTN_00338;HTN;64200;HOUSTON;TX;BRWY;338;338;HOT SPRINGS;AR;WS;400;38;0;0;10419;137;\N;76;38;38;\N
814;HTN;KAR1_34206;KAR1;34200;HOUSTON;TX;MB;34206;34206;AUSTIN;TX;WS;141;0;0;0;14404;130;\N;111;\N;111;\N
821;HTN;KAR1_44276;KAR1;34200;HOUSTON;TX;MB;44276;44276;SAN ANTONIO;TX;WS;196;0;0;0;9810;130;\N;75;\N;75;\N
825;HTN;KAR1_64221;KAR1;34200;HOUSTON;TX;MB;64221;64221;DALLAS;TX;WB;246;0;0;0;2642;135;\N;20;\N;20;\N
818;HTN;KAR1_44266;KAR1;34200;HOUSTON;TX;MB;44266;44266;NEW BRAUNFELS;TX;WS;170;0;0;0;2150;135;\N;16;\N;16;\N
822;HTN;KAR1_54215;KAR1;34200;HOUSTON;TX;MB;54215;54215;CORPUS CHRISTI;TX;WS;210;0;0;0;1570;135;\N;12;\N;12;\N
826;HTN;KAR1_64225;KAR1;34200;HOUSTON;TX;MB;64225;64225;FORT WORTH;TX;WS;254;0;0;0;1470;135;\N;11;\N;11;\N
810;HTN;KAR1_64210;KAR1;34200;HOUSTON;TX;MB;64210;64210;BRYAN;TX;WB;86;0;0;0;750;135;\N;6;\N;6;\N
819;HTN;KAR1_64287;KAR1;34200;HOUSTON;TX;MB;64287;64287;TEMPLE;TX;WS;179;0;0;0;591;135;\N;4;\N;4;\N
830;HTN;KAR1_94239;KAR1;34200;HOUSTON;TX;MB;94239;94239;HARLINGEN;TX;WB;330;0;0;0;551;135;\N;4;\N;4;\N
824;HTN;KAR1_34254;KAR1;34200;HOUSTON;TX;MB;34254;34254;LLANO;TX;WB;221;0;0;0;510;135;\N;4;\N;4;\N
823;HTN;KAR1_84245;KAR1;34200;HOUSTON;TX;MB;84245;84245;LONGVIEW;TX;WS;214;0;0;0;499;135;\N;4;\N;4;\N
831;HTN;KAR1_94233;KAR1;34200;HOUSTON;TX;MB;94233;94233;MCALLEN;TX;WS;349;0;0;0;445;135;\N;3;\N;3;\N
813;HTN;KAR1_54294;KAR1;34200;HOUSTON;TX;MB;54294;54294;VICTORIA;TX;WB;127;0;0;0;383;135;\N;3;\N;3;\N
809;HTN;KAR1_94211;KAR1;34200;HOUSTON;TX;MB;94211;94211;BRENHAM;TX;WS;59;0;0;0;352;135;\N;3;\N;3;\N
829;HTN;KAR1_04249;KAR1;34200;HOUSTON;TX;MB;4249;4249;LAREDO;TX;WB;313;0;0;0;221;135;\N;2;\N;2;\N
817;HTN;KAR1_64295;KAR1;34200;HOUSTON;TX;MB;64295;64295;WACO;TX;WB;169;0;0;0;210;135;\N;2;\N;2;\N
811;HTN;KAR1_94285;KAR1;34200;HOUSTON;TX;MB;94285;94285;TRINITY;TX;WS;89;0;0;0;184;135;\N;1;\N;1;\N
834;HTN;KAR1_74298;KAR1;34200;HOUSTON;TX;MB;74298;74298;WICHITA FALLS;TX;WS;366;0;0;0;151;135;\N;1;\N;1;\N
832;HTN;KAR1_34271;KAR1;34200;HOUSTON;TX;MB;34271;34271;SAN ANGELO;TX;WS;351;0;0;0;143;135;\N;1;\N;1;\N
815;HTN;KAR1_84257;KAR1;34200;HOUSTON;TX;MB;84257;84257;NACOGDOCHES;TX;WB;149;0;0;0;124;135;\N;1;\N;1;\N
828;HTN;KAR1_14288;KAR1;34200;HOUSTON;TX;MB;14288;14288;TEXARKANA;TX;WB;296;0;0;0;114;135;\N;1;\N;1;\N
