Original;BreweryGroup;Lane;Origin;OriginWslr;OriginCity;OriginState;OriginType;Destination;DestinationWslr;DestinationCity;DestinationState;DestinationType;OW_Miles;TR_Loads;BH_Loads;tgt_ded_pcnt;bbls;ActDedicatedPayload;DedicatedLoads;Loads;FilledLoads;TotalLoadsToFill;DedicatedLoadsToFill
106;BLDV;BLDV_41908;BLDV;23100;BALDWINSVILLE;NY;BRWY;41908;41908;EASTON;MD;WS;372;0;0;0;1627;146;\N;11;\N;11;\N
103;BLDV;BLDV_64524;BLDV;23100;BALDWINSVILLE;NY;BRWY;64524;64524;WINCHESTER;VA;WB;362;0;0;0;1204;123;\N;10;\N;10;\N
95;BLDV;BLDV_64757;BLDV;23100;BALDWINSVILLE;NY;BRWY;64757;64757;MARTINSBURG;WV;WS;343;0;0;0;1147;157;\N;7;\N;7;\N
98;BLDV;BLDV_61913;BLDV;23100;BALDWINSVILLE;NY;BRWY;61913;61913;GAITHERSBURG;MD;WS;351;0;0;0;977;136;\N;7;\N;7;\N
114;BLDV;BLDV_64767;BLDV;23100;BALDWINSVILLE;NY;BRWY;64767;64767;ROMNEY;WV;WS;387;0;0;0;801;160;\N;5;\N;5;\N
74;BLDV;BLDV_93405;BLDV;23100;BALDWINSVILLE;NY;BRWY;93405;93405;ASHTABULA;OH;WB;299;0;0;0;287;146;\N;2;\N;2;\N
8;BLDV;BLDV_03162;BLDV;23100;BALDWINSVILLE;NY;BRWY;3162;3162;BINGHAMTON;NY;NE;86;0;0;0;54;135;\N;0;\N;0;\N
39;BLDV;BLDV_63165;BLDV;23100;BALDWINSVILLE;NY;BRWY;63165;63165;PLATTSBURGH;NY;IA;236;10;0;100;22;161;0;0;10;\N;\N
161;COL;COL_51341;COL;43400;COLUMBUS;OH;BRWY;51341;51341;INDIANAPOLIS;IN;WS;181;110;1646;100;196942;150;1314;1314;1756;\N;\N
217;COL;COL_33107;COL;43400;COLUMBUS;OH;BRWY;33107;33107;LANCASTER;NY;WS;325;0;0;0;146985;135;\N;1091;\N;1091;\N
155;COL;COL_33496;COL;43400;COLUMBUS;OH;BRWY;33496;33496;AUSTINTOWN;OH;WS;162;76;17;0;118792;143;\N;830;93;737;\N
125;COL;COL_23430;COL;43400;COLUMBUS;OH;BRWY;23430;23430;FOSTORIA;OH;WS;81;45;696;100;73789;166;443;443;741;\N;\N
209;COL;COL_41202;COL;43400;COLUMBUS;OH;BRWY;41202;41202;CHICAGO;IL;WS;308;0;0;0;50604;139;\N;365;\N;365;\N
252;COL;COL_32148;COL;43400;COLUMBUS;OH;BRWY;32148;32148;LUDINGTON;MI;WS;390;4;22;0;40418;147;\N;276;26;249;\N
233;COL;COL_74142;COL;43400;COLUMBUS;OH;BRWY;74142;74142;JOHNSON CITY;TN;WS;343;0;0;0;37269;151;\N;247;\N;247;\N
249;COL;COL_63124;COL;43400;COLUMBUS;OH;BRWY;63124;63124;WEST HENRIETTA;NY;WS;384;0;0;0;28534;149;\N;192;\N;192;\N
169;COL;COL_93405;COL;43400;COLUMBUS;OH;BRWY;93405;93405;ASHTABULA;OH;WB;189;15;12;0;23486;158;\N;148;27;121;\N
218;COL;COL_33159;COL;43400;COLUMBUS;OH;BRWY;33159;33159;OLEAN;NY;WS;325;0;0;0;23150;151;\N;154;\N;154;\N
170;COL;COL_51317;COL;43400;COLUMBUS;OH;BRWY;51317;51317;COLUMBUS;IN;WS;193;25;0;17;22514;163;24;138;25;113;\N
180;COL;COL_51311;COL;43400;COLUMBUS;OH;BRWY;51311;51311;BLOOMINGTON;IN;WS;225;0;0;0;21493;145;\N;148;\N;148;\N
224;COL;COL_41200;COL;43400;COLUMBUS;OH;BRWY;41200;41200;ARLINGTON HEIGHTS;IL;WB;332;0;0;0;19642;139;\N;141;\N;141;\N
211;COL;COL_94568;COL;43400;COLUMBUS;OH;BRWY;94568;94568;PULASKI;VA;WB;313;0;0;0;18802;147;\N;128;\N;128;\N
241;COL;COL_13733;COL;43400;COLUMBUS;OH;BRWY;13733;13733;HARRISBURG;PA;WS;368;0;0;0;17857;142;\N;126;\N;126;\N
250;COL;COL_13797;COL;43400;COLUMBUS;OH;BRWY;13797;13797;YORK;PA;WS;385;0;0;0;17509;143;\N;122;\N;122;\N
225;COL;COL_51229;COL;43400;COLUMBUS;OH;BRWY;51229;51229;DECATUR;IL;WS;334;0;0;0;13612;141;\N;97;\N;97;\N
216;COL;COL_61915;COL;43400;COLUMBUS;OH;BRWY;61915;61915;HAGERSTOWN;MD;WS;323;0;0;0;12331;124;\N;99;\N;99;\N
244;COL;COL_43782;COL;43400;COLUMBUS;OH;BRWY;43782;43782;MONTANDON;PA;WS;376;0;0;0;11561;144;\N;80;\N;80;\N
256;COL;COL_04163;COL;43400;COLUMBUS;OH;BRWY;4163;4163;LA VERGNE;TN;WS;398;10;0;0;10318;147;\N;70;10;60;\N
232;COL;COL_94572;COL;43400;COLUMBUS;OH;BRWY;94572;94572;HOLLINS;VA;WS;340;0;0;0;9844;138;\N;71;\N;71;\N
