Vehicle,ShipmentId,Backhaul Origin,Backhaul Destination,,MatchId,ShipperName,ShipperContact,Match Origin,Match Destination,Inc. miles,Inc. Minutes,Benefit,,,Inc Miles,Inc Minutes,Benefit
veh-25664250,,,,,,,,,,,,,,,,,
veh-25664250,,,,,,,,,,,,,,,,,
veh-25664250,,,,,,,,,,,,,,,,,
veh-25664256,,,,,,,,,,,,,,,,,
veh-25664256,,,,,,,,,,,,,,,,,
veh-25664256,,,,,,,,,,,,,,,,,
veh-25664256,,,,,,,,,,,,,,,,,
veh-25664256,,,,,,,,,,,,,,,,,
veh-25664260,,,,,,,,,,,,,,,,,
veh-25664260,,,,,,,,,,,,,,,,,
veh-25664260,,,,,,,,,,,,,,,,,
veh-25664260,,,,,,,,,,,,,,,,,
veh-25664260,,,,,,,,,,,,,,,,,
veh-25670451,,,,,,,,,,,,,,,,,
veh-25670451,,,,,,,,,,,,,,,,,
veh-25670451,,,,,,,,,,,,,,,,,
veh-25670451,,,,,,,,,,,,,,,,,
veh-25670451,,,,,,,,,,,,,,,,,
veh-25670460,,,,,,,,,,,,,,,,,
veh-25670460,,,,,,,,,,,,,,,,,
veh-25670460,,,,,,,,,,,,,,,,,
veh-25670460,,,,,,,,,,,,,,,,,
veh-25670460,,,,,,,,,,,,,,,,,
veh-25670476,,,,,,,,,,,,,,,,,
veh-25670476,,,,,,,,,,,,,,,,,
veh-25670476,,,,,,,,,,,,,,,,,
veh-25670476,,,,,,,,,,,,,,,,,
veh-25670476,,,,,,,,,,,,,,,,,
veh-25670518,,,,,,,,,,,,,,,,,
veh-25670518,,,,,,,,,,,,,,,,,
veh-25670518,,,,,,,,,,,,,,,,,
veh-25670518,,,,,,,,,,,,,,,,,
veh-25670518,,,,,,,,,,,,,,,,,
veh-25670519,,,,,,,,,,,,,,,,,
veh-25670519,,,,,,,,,,,,,,,,,
veh-25670519,,,,,,,,,,,,,,,,,
veh-25670519,,,,,,,,,,,,,,,,,
veh-25670519,,,,,,,,,,,,,,,,,
veh-25670523,,,,,,,,,,,,,,,,,
veh-25670523,,,,,,,,,,,,,,,,,
veh-25670523,,,,,,,,,,,,,,,,,
veh-25670523,,,,,,,,,,,,,,,,,
veh-25670523,,,,,,,,,,,,,,,,,
veh-25670533,,,,,,,,,,,,,,,,,
veh-25670533,,,,,,,,,,,,,,,,,
veh-25670533,,,,,,,,,,,,,,,,,
veh-25670533,,,,,,,,,,,,,,,,,
veh-25670533,,,,,,,,,,,,,,,,,
veh-25670534,,,,,,,,,,,,,,,,,
veh-25670534,,,,,,,,,,,,,,,,,
veh-25670534,,,,,,,,,,,,,,,,,
veh-25670534,,,,,,,,,,,,,,,,,
veh-25670534,,,,,,,,,,,,,,,,,
veh-25670536,,,,,,,,,,,,,,,,,
veh-25670536,,,,,,,,,,,,,,,,,
veh-25670536,,,,,,,,,,,,,,,,,
veh-25670536,,,,,,,,,,,,,,,,,
veh-25670536,,,,,,,,,,,,,,,,,
veh-25670545,,,,,,,,,,,,,,,,,
veh-25670545,,,,,,,,,,,,,,,,,
veh-25670545,,,,,,,,,,,,,,,,,
veh-25670545,,,,,,,,,,,,,,,,,
veh-25670545,,,,,,,,,,,,,,,,,
veh-25670546,,,,,,,,,,,,,,,,,
veh-25670546,,,,,,,,,,,,,,,,,
veh-25670546,,,,,,,,,,,,,,,,,
veh-25670546,,,,,,,,,,,,,,,,,
veh-25670546,,,,,,,,,,,,,,,,,
veh-25670553,,,,,,,,,,,,,,,,,
veh-25670553,,,,,,,,,,,,,,,,,
veh-25670553,,,,,,,,,,,,,,,,,
veh-25670553,,,,,,,,,,,,,,,,,
veh-25670553,,,,,,,,,,,,,,,,,
veh-25670555,,,,,,,,,,,,,,,,,
veh-25670555,,,,,,,,,,,,,,,,,
veh-25670555,,,,,,,,,,,,,,,,,
veh-25670555,,,,,,,,,,,,,,,,,
veh-25670555,,,,,,,,,,,,,,,,,
veh-25670574,25670574,"HOUSTON, TX","LONGVIEW, TX",,25670574-145,EPES LOG,855-600-8664,"TYLER, TX","HOUSTON, TX",35.1740465035356,170,506.507958459161,,,,,
veh-25670574,,,,,,,,,,,,,,,,,
veh-25670574,,,,,,,,,,,,,,,,,
veh-25670574,,,,,,,,,,,,,,,,,
veh-25670574,,,,,,,,,,,,,,,,,
veh-25670576,25670576,"HOUSTON, TX","CONROE, TX",,25670576-4,UNIVERSA,615-986-7163,"HUTCHINS, TX","HOUSTON, TX",383.045223507773,544,48.8493029274945,,,,,
veh-25670576,,,,,,,,,,,,,,,,,
veh-25670576,,,,,,,,,,,,,,,,,
veh-25670576,,,,,,,,,,,,,,,,,
veh-25670576,,,,,,,,,,,,,,,,,
veh-25670577,,,,,,,,,,,,,,,,,
veh-25670577,,,,,,,,,,,,,,,,,
veh-25670577,,,,,,,,,,,,,,,,,
veh-25670577,,,,,,,,,,,,,,,,,
veh-25670577,,,,,,,,,,,,,,,,,
veh-25670578,,,,,,,,,,,,,,,,,
veh-25670578,,,,,,,,,,,,,,,,,
veh-25670578,,,,,,,,,,,,,,,,,
veh-25670578,,,,,,,,,,,,,,,,,
veh-25670578,,,,,,,,,,,,,,,,,
veh-25670579,,,,,,,,,,,,,,,,,
veh-25670579,,,,,,,,,,,,,,,,,
veh-25670579,,,,,,,,,,,,,,,,,
veh-25670579,,,,,,,,,,,,,,,,,
veh-25670579,,,,,,,,,,,,,,,,,
veh-25670581,,,,,,,,,,,,,,,,,
veh-25670581,,,,,,,,,,,,,,,,,
veh-25670581,,,,,,,,,,,,,,,,,
veh-25670581,,,,,,,,,,,,,,,,,
veh-25670581,,,,,,,,,,,,,,,,,
veh-25670589,25670589,"HOUSTON, TX","CONROE, TX",,25670589-108,UNIVERSA,615-986-7163,"HUTCHINS, TX","HOUSTON, TX",383.045223507773,544,48.8493029274945,,,,,
veh-25670589,,,,,,,,,,,,,,,,,
veh-25670589,,,,,,,,,,,,,,,,,
veh-25670589,,,,,,,,,,,,,,,,,
veh-25670589,,,,,,,,,,,,,,,,,
veh-25670596,,,,,,,,,,,,,,,,,
veh-25670596,,,,,,,,,,,,,,,,,
veh-25670596,,,,,,,,,,,,,,,,,
veh-25670596,,,,,,,,,,,,,,,,,
veh-25670596,,,,,,,,,,,,,,,,,
veh-25670597,,,,,,,,,,,,,,,,,
veh-25670597,,,,,,,,,,,,,,,,,
veh-25670597,,,,,,,,,,,,,,,,,
veh-25670597,,,,,,,,,,,,,,,,,
veh-25670597,,,,,,,,,,,,,,,,,
veh-25670601,,,,,,,,,,,,,,,,,
veh-25670601,,,,,,,,,,,,,,,,,
veh-25670601,,,,,,,,,,,,,,,,,
veh-25670601,,,,,,,,,,,,,,,,,
veh-25670601,,,,,,,,,,,,,,,,,
veh-25670609,,,,,,,,,,,,,,,,,
veh-25670609,,,,,,,,,,,,,,,,,
veh-25670609,,,,,,,,,,,,,,,,,
veh-25670609,,,,,,,,,,,,,,,,,
veh-25670609,,,,,,,,,,,,,,,,,
veh-25670618,,,,,,,,,,,,,,,,,
veh-25670618,,,,,,,,,,,,,,,,,
veh-25670618,,,,,,,,,,,,,,,,,
veh-25670618,,,,,,,,,,,,,,,,,
veh-25670618,,,,,,,,,,,,,,,,,
veh-25670620,,,,,,,,,,,,,,,,,
veh-25670620,,,,,,,,,,,,,,,,,
veh-25670620,,,,,,,,,,,,,,,,,
veh-25670620,,,,,,,,,,,,,,,,,
veh-25670620,,,,,,,,,,,,,,,,,
veh-25670626,,,,,,,,,,,,,,,,,
veh-25670626,,,,,,,,,,,,,,,,,
veh-25670626,,,,,,,,,,,,,,,,,
veh-25670626,,,,,,,,,,,,,,,,,
veh-25670626,,,,,,,,,,,,,,,,,
veh-25670646,,,,,,,,,,,,,,,,,
veh-25670646,,,,,,,,,,,,,,,,,
veh-25670646,,,,,,,,,,,,,,,,,
veh-25670646,,,,,,,,,,,,,,,,,
veh-25670646,,,,,,,,,,,,,,,,,
veh-25670651,,,,,,,,,,,,,,,,,
veh-25670651,,,,,,,,,,,,,,,,,
veh-25670651,,,,,,,,,,,,,,,,,
veh-25670651,,,,,,,,,,,,,,,,,
