Srce|Shipnum|Shpd_Dt|Origin|Destination|Cdty_Cd|Ori_city|Ori_St|Origin_Zip|Dest_city|Dest_St|Dest_Zip|TM_Miles
TMS|25639378|44041|HTN|44207|DRY|HOUSTON|TX|77029|BEAUMONT|TX|77707|85
TMS|25659587|44041|HTN|51733|DRY|HOUSTON|TX|77029|LAKE CHARLES|LA|70615|144
TMS|25660841|44041|HTN|94285|DRY|HOUSTON|TX|77029|TRINITY|TX|75862|89
TMS|25663911|44041|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261
TMS|25664057|44041|HTN|34206|DRY|HOUSTON|TX|77029|AUSTIN|TX|78724|163
TMS|25664058|44041|HTN|94262|DRY|HOUSTON|TX|77029|HOUSTON (CYPRESS)|TX|77041|19
TMS|25664059|44041|HTN|64259|DRY|HOUSTON|TX|77029|PALESTINE|TX|75801|152
TMS|25664064|44041|HTN|21736|DRY|HOUSTON|TX|77029|LEESVILLE|LA|71446|206
TMS|25664111|44041|HTN|TXLP|DRY|HOUSTON|TX|77029|LAPORTE|TX|77571|23
TMS|25664161|44041|HTN|94262|DRY|HOUSTON|TX|77029|HOUSTON (CYPRESS)|TX|77041|19
TMS|25664169|44041|HTN|94262|DRY|HOUSTON|TX|77029|HOUSTON (CYPRESS)|TX|77041|19
TMS|25664185|44041|HTN|94224|DRY|HOUSTON|TX|77029|ROSENBERG|TX|77471|32
TMS|25664187|44041|HTN|94240|DRY|HOUSTON|TX|77029|HOUSTON|TX|77007|7
TMS|25664208|44041|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25664214|44041|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25664219|44041|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25664222|44041|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25664241|44041|HTN|64210|DRY|HOUSTON|TX|77029|BRYAN|TX|77803|101
TMS|25664244|44041|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25664245|44041|HTN|44207|DRY|HOUSTON|TX|77029|BEAUMONT|TX|77707|85
TMS|25664250|44041|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25664256|44041|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25664260|44041|HTN|64230|DRY|HOUSTON|TX|77029|COMMERCE|TX|75428|274
TMS|25670451|44041|HTN|64230|DRY|HOUSTON|TX|77029|COMMERCE|TX|75428|274
TMS|25670460|44041|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25670476|44041|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25670518|44041|HTN|4249|DRYDRAUGHT|HOUSTON|TX|77029|LAREDO|TX|78045|310
TMS|25670519|44041|HTN|34254|DRYDRAUGHT|HOUSTON|TX|77029|LLANO|TX|78643|236
TMS|25670523|44041|HTN|54294|DRY|HOUSTON|TX|77029|VICTORIA|TX|77901|124
TMS|25670533|44041|HTN|64259|DRY|HOUSTON|TX|77029|PALESTINE|TX|75801|152
TMS|25670534|44041|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261
TMS|25670536|44041|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198
TMS|25670545|44041|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198
TMS|25670546|44041|HTN|34206|DRYDRAUGHT|HOUSTON|TX|77029|AUSTIN|TX|78724|163
TMS|25670553|44041|HTN|34206|DRY|HOUSTON|TX|77029|AUSTIN|TX|78724|163
TMS|25670555|44041|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261
TMS|25670574|44041|HTN|84245|DRY|HOUSTON|TX|77029|LONGVIEW|TX|75601|207
TMS|25670576|44041|HTN|94216|DRY|HOUSTON|TX|77029|CONROE|TX|77301|41
TMS|25670577|44041|HTN|94224|DRY|HOUSTON|TX|77029|ROSENBERG|TX|77471|32
TMS|25670578|44041|HTN|94285|DRY|HOUSTON|TX|77029|TRINITY|TX|75862|89
TMS|25670579|44041|HTN|84257|DRY|HOUSTON|TX|77029|NACOGDOCHES|TX|75965|141
TMS|25670581|44041|HTN|54209|DRY|HOUSTON|TX|77029|BEEVILLE|TX|78102|179
TMS|25670589|44041|HTN|94216|DRY|HOUSTON|TX|77029|CONROE|TX|77301|41
TMS|25670596|44041|HTN|54294|DRY|HOUSTON|TX|77029|VICTORIA|TX|77901|124
TMS|25670597|44041|HTN|34206|DRY|HOUSTON|TX|77029|AUSTIN|TX|78724|163
TMS|25670601|44041|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10
TMS|25670609|44041|HTN|94231|DRY|HOUSTON|TX|77029|TEXAS CITY|TX|77591|43
TMS|25670618|44041|HTN|21703|DRY|HOUSTON|TX|77029|ALEXANDRIA|LA|71302|234
TMS|25670620|44041|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10
TMS|25670626|44041|HTN|44207|DRY|HOUSTON|TX|77029|BEAUMONT|TX|77707|85
TMS|25670646|44041|HTN|64259|DRY|HOUSTON|TX|77029|PALESTINE|TX|75801|152
TMS|25670651|44041|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198
TMS|25670657|44041|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198
TMS|25670659|44041|HTN|94231|DRY|HOUSTON|TX|77029|TEXAS CITY|TX|77591|43
TMS|25670666|44041|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198
TMS|25670667|44041|HTN|94240|DRY|HOUSTON|TX|77029|HOUSTON|TX|77007|7
TMS|25672551|44041|HTN|94213|DRY|HOUSTON|TX|77029|MONT BELVIEU|TX|77523|32
TMS|25673391|44041|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261
TMS|25673392|44041|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261
TMS|25673394|44041|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261
TMS|25674117|44041|HTN|34254|DRYDRAUGHT|HOUSTON|TX|77029|LLANO|TX|78643|236
TMS|25674119|44041|HTN|94231|DRYDRAUGHT|HOUSTON|TX|77029|TEXAS CITY|TX|77591|43
TMS|25674120|44041|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198
TMS|25674122|44041|HTN|54215|DRYDRAUGHT|HOUSTON|TX|77029|CORPUS CHRISTI|TX|78406|207
TMS|25674123|44041|HTN|64230|DRYDRAUGHT|HOUSTON|TX|77029|COMMERCE|TX|75428|274
TMS|25674125|44041|HTN|41732|DRY|HOUSTON|TX|77029|LAFAYETTE|LA|70501|218
TMS|25674128|44041|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261
TMS|25674130|44041|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25674131|44041|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25674134|44041|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25674135|44041|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25674136|44041|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25674137|44041|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25674138|44041|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25674139|44041|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25674141|44041|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
